지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
192,진주,2016-02-25,.8,-4.2,550,7.6,1510,,,,,,,8.6,20,1207,4.3,360,1209,1.7,1461,50,-14.8,13,1303,32.8,2,1030.1,1036.4,913,1031.6,1619,1034,11.3,10.5,1200,1.83,12.13,,,,,,,,3.2,-8.6,,,,,,,,,,,,,,
192,진주,2016-02-26,1.8,-5.9,550,8.3,1315,,,,,,,8.7,250,1238,5.3,250,1243,.9,815,250,-5.2,39,1211,61,4.3,1025.7,1033.8,1,1026.3,2359,1029.6,11.3,5.1,1200,1.35,7.21,,,,,,,,2.7,-8.9,,,,,,,,,,,,.7,,
192,진주,2016-02-27,7.9,.8,11,14.2,1502,,,,,,.7,8.5,250,1515,4.8,250,1515,1.6,1425,250,-3.6,15,1441,49.8,4.8,1020,1026.4,3,1022,1432,1023.7,11.3,9.3,1200,1.67,11.01,,,,,,,,7.8,-2.1,,,,,,,,,,,,.9,,
192,진주,2016-02-28,6.1,-.7,438,13.6,1329,,,,,,3,14.5,250,1803,6.5,250,1812,1.5,1326,320,.1,45,1758,67.1,6.3,1017,1025.2,9,1014.8,1721,1020.7,11.4,4.6,1300,1.21,6.95,,,,,,,,6.4,-4.3,,,,,,,,,,,,2.1,,
192,진주,2016-02-29,-.2,-4.6,2304,3.5,1,,,,,,,10.3,340,1341,5.7,340,1312,2.7,2332,340,-11.2,30,847,43.8,2.6,1021.4,1029.7,2255,1021.2,2,1025.2,11.4,7.1,1300,1.35,8.8,,,,,,,,3.1,-8.4,,,,,,,,,,,,,,
192,진주,2016-03-01,-.8,-7.7,704,6.8,1622,,,,,,,6.3,200,1513,3.1,250,1325,1.1,951,250,-12.5,17,1354,44,2.4,1024.1,1030.2,851,1024.8,1622,1028,11.4,10.8,1200,1.87,12.84,,,,,,,,3.2,-10.9,,,,,,,,,,,,,,
192,진주,2016-03-02,3.8,-6.8,625,11.8,1458,,,,,,,7.6,200,1525,3.7,110,1328,1.3,1148,250,-6.9,20,1424,49.6,3.8,1022.6,1029.6,729,1023.3,1730,1026.4,11.5,10.7,1200,1.87,12.96,,,,,,,,4.9,-10.6,,,,,,,,,,,,,,
192,진주,2016-03-03,6.7,-3.4,702,16,1407,,,,,,0,8.6,110,1422,4.2,140,1427,1.1,940,180,-1.1,28,1503,61.9,5.8,1021.2,1027.3,852,1023.1,1439,1024.9,11.5,10.4,1200,1.82,12.36,,,,,,,,7.5,-7,,,,,,,,,,,,3.7,,
192,진주,2016-03-04,8.2,6.6,446,9.7,1553,,,,,,36.1,4.2,320,352,2.1,320,309,.8,731,320,6.3,74,107,88.4,9.6,1022.2,1027.7,2152,1024.3,316,1025.9,11.5,0,1300,.3,1.25,,,,,,,,8.4,6.3,,,,,,,,,,,,32.7,,
192,진주,2016-03-05,12.1,8.5,454,15.7,2253,,,,,,43.1,9.9,270,2212,5,270,2214,1.4,1212,160,10,76,1657,87.6,12.4,1017.9,1027.2,1,1017.1,2016,1021.6,11.6,0,900,.26,1.29,,,,,,,,11.1,8.4,,,,,,,,,,,,44.1,,
